DDCTransactionId67C4E6B54821EAD9C15960961316B64F_28, GetCachedData, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_0B92E78C4DB1EF7D0__37187FC2FA1D1A6D05AD3EE83DD7C240C6A96004, StartTime=2016.05.24-09.33.01, HierarchicalDDC, DataSize=393 bytes, Retrieved=true, Duration=0.160284ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_29, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufA65D8BFD__6180FB85461DD64FEF346B6A6767E948613E1381, StartTime=2016.05.24-09.33.01, HierarchicalDDC, DataSize=657255 bytes, Retrieved=true, Duration=1.003392ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_30, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufA65D8BFD__3F1F198EA5B3234CFCB2817F3CE621870F397ED1, StartTime=2016.05.24-09.33.01, HierarchicalDDC, DataSize=482527 bytes, Retrieved=true, Duration=3.457379ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_31, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufE8B62895__937B00F76F6405B437D8721801A715855C7D3048, StartTime=2016.05.24-09.33.02, HierarchicalDDC, DataSize=36505 bytes, Retrieved=true, Duration=0.116687ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_32, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufE8B62895__8EBEC1C5297FC22AAD9D92C7A4257DB591F1CD7F, StartTime=2016.05.24-09.33.02, HierarchicalDDC, DataSize=29773 bytes, Retrieved=true, Duration=1.282293ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_33, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufE8B62895__D6424A7602621AE7CB84D410EDFBFF2C9C87007C, StartTime=2016.05.24-09.33.02, HierarchicalDDC, DataSize=26619 bytes, Retrieved=true, Duration=0.073731ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_34, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufE8B62895__A849254C1432F158D5B142508792CB8AE98F3812, StartTime=2016.05.24-09.33.02, HierarchicalDDC, DataSize=19943 bytes, Retrieved=true, Duration=0.183046ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_35, GetCachedData, CacheKey=STATICMESH_46A8778361B442A9523C54440EA1E9D_8C68575CEF434CA8A9E1DA4AED8A47BB_3A__4F5CE07281C38A268DE45F7FA423F88D7B0AE129, StartTime=2016.05.24-09.33.02, HierarchicalDDC, DataSize=65201 bytes, Retrieved=true, Duration=0.178881ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_36, GetCachedData, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_61C171EA46E0571C62DF3480217B91D__F4C26B03894151ACF24F74C71F892F72BBAAD999, StartTime=2016.05.24-09.33.02, HierarchicalDDC, DataSize=12598 bytes, Retrieved=true, Duration=0.147142ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_37, GetCachedData, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_61C171EA46E0571C6__EF9CDC3B6887C3D0D2556BBCF93DC456088AB47A, StartTime=2016.05.24-09.33.02, HierarchicalDDC, DataSize=829 bytes, Retrieved=true, Duration=0.138167ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
