DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_26, GetCachedData, CacheKey=STATICMESH_46A8778361B442A9523C54440EA1E9D_8C68575CEF434CA8A9E1DA4AED8A47BB_D8__AB7440EC4758A80E781CBED1E2F4D9CABBC9ECB2, StartTime=2016.05.24-08.48.39, HierarchicalDDC, DataSize=15569 bytes, Retrieved=true, Duration=0.129834ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_27, GetCachedData, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0B92E78C4DB1EF7D0C58D2A05F1E4C3__0A0B313B1A847E9E2D62BADAF19988370A263D03, StartTime=2016.05.24-08.48.39, HierarchicalDDC, DataSize=5412 bytes, Retrieved=true, Duration=0.122137ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_28, GetCachedData, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_0B92E78C4DB1EF7D0__37187FC2FA1D1A6D05AD3EE83DD7C240C6A96004, StartTime=2016.05.24-08.48.39, HierarchicalDDC, DataSize=393 bytes, Retrieved=true, Duration=0.119250ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_29, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufA65D8BFD__6180FB85461DD64FEF346B6A6767E948613E1381, StartTime=2016.05.24-08.48.39, HierarchicalDDC, DataSize=657255 bytes, Retrieved=true, Duration=1.025513ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_30, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufA65D8BFD__3F1F198EA5B3234CFCB2817F3CE621870F397ED1, StartTime=2016.05.24-08.48.39, HierarchicalDDC, DataSize=482527 bytes, Retrieved=true, Duration=2.124436ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_31, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufE8B62895__937B00F76F6405B437D8721801A715855C7D3048, StartTime=2016.05.24-08.48.40, HierarchicalDDC, DataSize=36505 bytes, Retrieved=true, Duration=0.221837ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_32, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufE8B62895__8EBEC1C5297FC22AAD9D92C7A4257DB591F1CD7F, StartTime=2016.05.24-08.48.40, HierarchicalDDC, DataSize=29773 bytes, Retrieved=true, Duration=0.490155ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_33, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufE8B62895__D6424A7602621AE7CB84D410EDFBFF2C9C87007C, StartTime=2016.05.24-08.48.40, HierarchicalDDC, DataSize=26619 bytes, Retrieved=true, Duration=0.132397ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_34, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufE8B62895__A849254C1432F158D5B142508792CB8AE98F3812, StartTime=2016.05.24-08.48.40, HierarchicalDDC, DataSize=19943 bytes, Retrieved=true, Duration=0.247482ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_35, GetCachedData, CacheKey=STATICMESH_46A8778361B442A9523C54440EA1E9D_8C68575CEF434CA8A9E1DA4AED8A47BB_3A__4F5CE07281C38A268DE45F7FA423F88D7B0AE129, StartTime=2016.05.24-08.48.40, HierarchicalDDC, DataSize=65201 bytes, Retrieved=true, Duration=0.155158ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
